GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,BoardSuccessEx,0,1636,0,2,0,390,0,131,0,130
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderRequestEx.ReverseLimitOrder,0,180,0,2,0,46,0,15,0,14
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderOptionRequestEx,0,314,0,10,0,65,0,20,0,15
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,PositionsSuccessEx,0,567,0,2,0,138,0,47,0,46
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,RegistSuccessEx,0,95,0,6,0,25,0,9,0,6
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,BoardSuccessEx.Quotation2,0,292,0,38,0,75,0,44,0,25
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,BoardSuccessEx.Quotation1,0,157,0,6,0,39,0,16,0,13
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderDerivRequestEx.ReverseLimitOrder,0,150,0,2,0,39,0,13,0,12
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderCommonRequestEx.ClosePosition,0,104,0,2,0,29,0,10,0,9
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderDerivRequestEx,0,155,0,2,0,57,0,28,0,27
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderFutureRequestEx,0,314,0,10,0,65,0,20,0,15
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,OrdersSuccessEx,0,602,0,6,0,144,0,49,0,46
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderCommonRequestEx,0,3,0,0,0,1,0,1,0,1
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,SendOrderRequestEx,0,630,0,16,0,163,0,64,0,56
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,OrdersSuccessEx.Detail,0,381,0,2,0,93,0,32,0,31
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.model,RegisterSymbolEx,0,100,0,2,0,27,0,10,0,9
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.util,GsonUtil,0,10,0,0,0,3,0,2,0,2
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex,InfoApiEx,0,192,0,4,0,43,0,12,0,10
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex,RegisterApiEx,0,134,0,4,0,32,0,9,0,7
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex,AuthApiEx,0,31,0,0,0,10,0,3,0,3
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex,OrderApiEx,0,77,0,0,0,23,0,6,0,6
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.with_sleep,OrderApiExWithSleep,0,65,0,0,0,18,0,6,0,6
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.with_sleep,InfoApiExWithSleep,0,121,0,0,0,29,0,10,0,10
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.with_sleep,AuthApiExWithSleep,0,27,0,0,0,9,0,3,0,3
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.with_sleep,SleepUtil,0,6,0,0,0,4,0,2,0,2
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.with_sleep,RegisterApiExWithSleep,0,71,0,0,0,21,0,7,0,7
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.pushapi,BoardBeanUtil,0,8,0,0,0,3,0,1,0,1
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.pushapi,BoardBean,0,910,0,2,0,135,0,4,0,3
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.pushapi,BoardBeanQuotation2,0,56,0,2,0,13,0,4,0,3
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.pushapi,BoardBeanFactory,0,10,0,0,0,3,0,1,0,1
kabusapi-client-ex,com.github.hiuchida.kabusapi.client_ex.pushapi,BoardBeanQuotation1,0,84,0,2,0,17,0,4,0,3
